name,ticker,sector,pe_ratio,industry,market_cap,ytd_return
Welltower Inc,WELL,Real Estate,74.00,Residential & Commercial REIT,22830.52,-0.36
Alexion Pharm Inc,ALXN,Health Care,30.68,Pharmaceuticals,25097.50,0.04
Skyworks Solutions,SWKS,Information Technology,30.38,Semiconductors & Semiconductor Equipment,23324.92,0.11
Amtek Inc,AME,Industrials,25.20,"Machinery, Equipment & Components",22329.26,-0.04
Mettler-Toledo International,MTD,Health Care,44.23,"Machinery, Equipment & Components",23637.35,0.21
Microchip Technology,MCHP,Information Technology,39.70,Semiconductors & Semiconductor Equipment,25043.19,-0.07
Phillips 66,PSX,Energy,0.00,Oil & Gas,24175.53,-0.53
Xilinx Inc,XLNX,Information Technology,39.15,Semiconductors & Semiconductor Equipment,24436.29,-0.01
American International Group,AIG,Financials,0.00,Insurance,23551.60,-0.49
Corning Inc,GLW,Information Technology,318.59,Electronic Equipment & Parts,24079.75,0.05
Seattle Genetics Inc,SGEN,Health Care,0.00,Biotechnology & Medical Research,31658.69,0.57
Schlumberger N.V.,SLB,Energy,0.00,Oil & Gas Related Equipment and Services,24055.80,-0.59
Fortive Corp,FTV,Industrials,50.68,"Machinery, Equipment & Components",24532.06,-0.06
Trade Desk Inc,TTD,Information Technology,188.53,Software & IT Services,21864.72,0.76
Simon Property Group,SPG,Real Estate,11.43,Residential & Commercial REIT,19916.84,-0.58
Keysight Technologies Inc Comm,KEYS,Information Technology,30.64,"Machinery, Equipment & Components",18231.12,-0.06
Delta Air Lines Inc,DAL,Industrials,0.00,Passenger Transportation Services,19197.75,-0.49
Ameren Corp,AEE,Utilities,22.54,Multiline Utilities,19039.95,-0.02
Verisign Inc,VRSN,Information Technology,30.45,Software & IT Services,23578.31,0.04
Equity Residential,EQR,Real Estate,17.48,Residential & Commercial REIT,19600.59,-0.37
KKR & Co. LP,KKR,Financials,128.60,Investment Banking & Investment Services,19374.23,0.18
Weyerhaeuser Company,WY,Real Estate,67.47,Residential & Commercial REIT,20686.52,-0.11
Realty Income Corp,O,Real Estate,41.59,Residential & Commercial REIT,20919.73,-0.20
Crowdstrike Holdings Inc.,CRWD,Information Technology,0.00,Software & IT Services,31310.95,1.78
State Street Corp,STT,Financials,9.42,Investment Banking & Investment Services,20748.33,-0.27
Alexandria Real Estate Equities,ARE,Real Estate,48.62,Residential & Commercial REIT,20071.13,-0.03
Fleetcor Technologies,FLT,Information Technology,27.45,Professional & Commercial Services,19839.62,-0.19
Arthur J. Gallagher & Company,AJG,Financials,28.52,Insurance,19968.30,0.07
Dollar Tree Inc,DLTR,Consumer Discretionary,23.24,Diversified Retail,20598.31,-0.08
Hershey Foods Corp,HSY,Consumer Staples,26.92,Food & Tobacco,28588.53,-0.09
First Republic Bank,FRC,Financials,19.47,Banking Services,17762.58,-0.14
Marathon Petroleum Corp,MPC,Energy,0.00,Oil & Gas,20197.59,-0.52
